,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
163,Saint Lucia,"20,417",,326 ,,"15,877",,"4,214",5,"110,393","1,763"
164,Timor-Leste,"19,894",,122 ,,"19,740",,32,,"14,650",90
165,Taiwan,"18,681",+48,851 ,,"16,511",+60,"1,319",,782,36
166,New Caledonia,"18,643",,283 ,,"13,737",,"4,623",18,"64,327",976
167,Nicaragua,"17,650",,216 ,,"4,225",,"13,209",,"2,615",32
168,Faeroe Islands,"17,403",,18 ,,"7,693",,"9,692",5,"354,043",366
169,Tajikistan,"17,283",,124 ,,"17,078",,81,,"1,750",13
170,South Sudan,"16,775",,137 ,,"13,074",,"3,564",1,"1,471",12
171,Brunei ,"16,293",,98 ,,"15,842",,353,1,"36,690",221
172,New Zealand,"16,146",+155,52 ,,"14,689",+70,"1,405",,"3,228",10
173,Equatorial Guinea,"15,802",,182 ,,"15,200",,420,5,"10,711",123
174,Djibouti,"15,429",,189 ,,"15,107",,133,,"15,267",187
175,Hong Kong,"13,905",,213 ,,"12,572",,"1,120",,"1,831",28
176,CAR,"13,898",,110 ,,"6,859",,"6,929",2,"2,801",22
177,Cayman Islands,"13,788",,15 ,,"8,553",,"5,220",6,"205,988",224
178,Gibraltar,"12,610",,100 ,,"10,838",,"1,672",8,"374,462","2,970"
179,Grenada,"12,246",+156,210 ,,"10,193",+239,"1,843",,"108,044","1,853"
180,San Marino,"11,786",,108  ,,"10,091",,"1,587",2,"346,209","3,172"
181,Gambia,"11,572",,347 ,,"10,156",,"1,069",4,"4,586",138
182,Yemen,"10,878",,"2,006 ",,"7,090",,"1,782",23,353,65
183,Bermuda,"10,552",,116 ,,"9,032",,"1,404",,"170,424","1,874"
184,Greenland,"10,533",,5 ,,"2,761",,"7,767",15,"185,033",88
185,Eritrea,"9,489",,97 ,,"9,073",,319,,"2,619",27
186,Saint Martin,"9,439",,61 ,,"1,399",,"7,979",7,"237,740","1,536"
187,Sint Maarten,"9,229",,79 ,,"8,343",,807,14,"211,471","1,810"
188,Dominica,"8,838",,51 ,,"8,058",,729,,"122,296",706
189,Niger,"8,640",,298 ,,"7,866",,476,1,338,12
190,Liechtenstein,"8,590",,73 ,,"8,066",,451,1,"224,282","1,906"
